Advisor;92;0
Aetherborn;17;0
Alien;5;0
Ally;99;9
Angel;253;44
Antelope;10;0
Ape;33;3
Archer;97;0
Archon;19;0
Army;24;28
Artificer;196;2
Assassin;74;3
Assembly-Worker;12;3
Astartes;24;4
Atog;12;1
Aurochs;4;0
Avatar;109;6
Azra;9;0
Badger;8;0
Balloon;1;1
Barbarian;44;1
Bard;19;1
Basilisk;12;0
Bat;34;1
Bear;41;10
Beast;488;43
Beeble;3;1
Beholder;6;1
Berserker;119;6
Bird;361;27
Blinkmoth;0;3
Boar;47;4
Bringer;6;0
Brushwagg;2;2
Camarid;0;2
Camel;8;0
Caribou;0;1
Carrier;10;0
Cat;270;11
Centaur;72;8
Cephalid;24;1
Child;4;0
Chimera;22;0
Citizen;52;20
Cleric;570;23
Clown;5;5
Cockatrice;3;0
Construct;207;23
Coward;4;2
Crab;34;3
Crocodile;28;1
C'tan;2;0
Custodes;1;0
Cyclops;32;1
Dauthi;11;0
Demigod;8;1
Demon;200;20
Deserter;3;1
Devil;55;10
Dinosaur;153;12
Djinn;56;4
Dog;109;4
Dragon;370;76
Drake;100;4
Dreadnought;4;0
Drone;64;1
Druid;286;3
Dryad;47;2
Dwarf;122;7
Efreet;27;1
Egg;13;9
Elder;53;1
Eldrazi;145;28
Elemental;557;84
Elephant;70;12
Elf;567;33
Elk;25;3
Employee;18;2
Eye;39;13
Faerie;114;12
Ferret;1;0
Fish;39;3
Flagbearer;2;1
Fox;43;0
Fractal;6;11
Frog;41;8
Fungus;56;3
Gamer;1;0
Gargoyle;33;4
Germ;0;15
Giant;219;22
Gith;2;0
Gnoll;3;0
Gnome;17;1
Goat;18;5
Goblin;450;54
God;64;17
Golem;151;14
Gorgon;19;2
Graveborn;2;0
Gremlin;12;3
Griffin;53;3
Guest;24;0
Hag;10;0
Halfling;45;3
Hamster;1;1
Harpy;12;0
Hellion;21;2
Hippo;8;1
Hippogriff;8;0
Homarid;7;0
Homunculus;25;0
Horror;293;15
Horse;44;0
Human;3258;70
Hydra;60;2
Hyena;5;0
Illusion;101;11
Imp;43;1
Incarnation;18;1
Inkling;4;6
Inquisitor;11;0
Insect;217;20
Jackal;26;1
Jellyfish;14;0
Juggernaut;20;1
Kavu;49;1
Kirin;12;0
Kithkin;66;6
Knight;420;35
Kobold;14;1
Kor;80;8
Kraken;34;5
Lamia;2;0
Lammasu;2;0
Leech;18;0
Leviathan;27;2
Lhurgoyf;10;1
Licid;12;0
Lizard;67;4
Manticore;12;1
Masticore;6;0
Mercenary;43;2
Merfolk;267;10
Metathran;8;0
Minion;43;3
Minotaur;99;5
Mite;9;5
Mole;5;0
Monger;5;0
Mongoose;3;1
Monk;111;7
Monkey;12;1
Moonfolk;26;0
Mouse;2;1
Mutant;58;0
Myr;44;10
Mystic;26;5
Naga;40;0
Nautilus;2;0
Necron;23;4
Nephilim;5;0
Nightmare;73;4
Nightstalker;12;1
Ninja;45;5
Noble;107;1
Noggle;4;0
Nomad;28;2
Nymph;19;0
Octopus;16;4
Ogre;125;3
Ooze;40;8
Orb;1;5
Orc;105;18
Orgg;4;0
Otter;2;0
Ouphe;14;0
Ox;17;3
Oyster;1;0
Pangolin;4;0
Peasant;33;0
Pegasus;22;4
Pentavite;1;0
Performer;18;1
Pest;8;8
Phelddagrif;2;0
Phoenix;34;0
Phyrexian;457;69
Pilot;19;5
Pincher;0;1
Pirate;125;14
Plant;71;6
Praetor;18;2
Primarch;3;0
Prism;0;5
Processor;12;2
Rabbit;9;0
Raccoon;3;0
Ranger;47;2
Rat;80;3
Rebel;59;17
Reflection;3;5
Rhino;54;5
Rigger;2;0
Robot;24;6
Rogue;445;30
Sable;1;0
Salamander;14;0
Samurai;70;9
Sand;9;6
Saproling;46;39
Satyr;32;3
Scarecrow;40;0
Scion;29;8
Scorpion;15;0
Scout;183;1
Sculpture;2;0
Serf;1;0
Serpent;55;6
Servo;23;10
Shade;34;1
Shaman;477;6
Shapeshifter;119;14
Shark;11;1
Sheep;5;0
Siren;18;0
Skeleton;68;5
Slith;6;0
Sliver;118;3
Slug;8;0
Snake;111;13
Soldier;891;87
Soltari;10;0
Spawn;23;9
Specter;25;0
Spellshaper;57;0
Sphinx;74;4
Spider;79;9
Spike;14;4
Spirit;669;117
Splinter;0;1
Sponge;2;0
Squid;8;0
Squirrel;21;14
Starfish;3;0
Surrakar;4;0
Survivor;11;0
Tentacle;2;0
Tetravite;1;0
Thalakos;7;1
Thopter;41;18
Thrull;26;8
Tiefling;18;0
Treefolk;102;11
Trilobite;4;0
Triskelavite;1;0
Troll;52;3
Turtle;31;2
Tyranid;37;1
Unicorn;27;1
Vampire;368;38
Vedalken;67;1
Viashino;55;0
Volver;5;0
Wall;181;41
Walrus;1;0
Warlock;74;2
Warrior;1020;76
Weird;11;3
Werewolf;86;13
Whale;13;0
Wizard;994;39
Wolf;100;27
Wolverine;9;0
Wombat;1;0
Worm;11;2
Wraith;12;1
Wurm;103;9
Yeti;14;0
Zombie;619;116
Zubera;7;0
